Ether / IP / TCP 192.168.1.5:64311 > 17.8.135.30:https S
Ether / IP / TCP 192.168.1.5:64311 > 17.8.135.30:https S
Ether / IP / TCP 192.168.1.5:64062 > 163.70.145.60:jabber_client PA / Raw
Ether / IP / TCP 163.70.145.60:jabber_client > 192.168.1.5:64062 A
Ether / IP / TCP 163.70.145.60:jabber_client > 192.168.1.5:64062 PA / Raw
Ether / IP / TCP 192.168.1.5:64062 > 163.70.145.60:jabber_client A
Ether / IP / TCP 192.168.1.5:64311 > 17.8.135.30:https S
Ether / IP / TCP 192.168.1.5:64311 > 17.8.135.30:https S
Ether / IP / TCP 192.168.1.5:52408 > 148.113.9.58:https A
Ether / IP / TCP 148.113.9.58:https > 192.168.1.5:52408 A
Ether / IP / TCP 148.113.9.58:https > 192.168.1.5:52408 A
Ether / IP / TCP 192.168.1.5:52408 > 148.113.9.58:https A
Ether / IP / TCP 192.168.1.5:64311 > 17.8.135.30:https S
Ether / IP / TCP 192.168.1.5:64054 > 35.186.224.40:https PA / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https S
Ether / IP / TCP 35.186.224.40:https > 192.168.1.5:64054 A
Ether / IP / TCP 192.168.1.5:52545 > 35.186.224.40:https PA / Raw
Ether / IP / TCP 35.186.224.40:https > 192.168.1.5:52545 A
Ether / IP / UDP / DNS Qry b'dc.services.visualstudio.com.'
Ether / IP / UDP / DNS Ans b'gig-ai-g-prod-westeurope-5-app-v4-tag.westeurope.cloudapp.azure.com.'
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https S
Ether / IP / TCP 35.186.224.40:https > 192.168.1.5:64054 PA / Raw
Ether / IP / TCP 192.168.1.5:64054 > 35.186.224.40:https A
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 SA
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https PA / Raw
Ether / IP / TCP 35.186.224.40:https > 192.168.1.5:52545 PA / Raw
Ether / IP / TCP 192.168.1.5:52545 > 35.186.224.40:https A
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 SA
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https A
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https PA / Raw
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 A
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 PA / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https PA / Raw
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 PA / Raw
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https A
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https PA / Raw
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 A / Raw
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 A / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 A / Raw
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 A / Raw
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 PA / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https PA / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https PA / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https PA / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https PA / Raw
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 A / Raw
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 A / Raw
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 A / Raw
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 PA / Raw
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https A
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https A
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https PA / Raw
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 PA / Raw
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 PA / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https PA / Raw
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 A
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 A
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 PA / Raw
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 PA / Raw
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 FPA / Raw
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https A
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https A
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https PA / Raw
Ether / IP / TCP 192.168.1.5:52755 > 20.50.88.245:https FA
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 PA / Raw
Ether / IP / TCP 192.168.1.5:52754 > 51.116.246.105:https A
Ether / IP / TCP 51.116.246.105:https > 192.168.1.5:52754 A
Ether / IP / TCP 20.50.88.245:https > 192.168.1.5:52755 A
Ether / IP / TCP 192.168.1.5:64311 > 17.8.135.30:https S
Ether / IP / UDP 192.168.1.5:60129 > 17.253.18.229:https / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 192.168.1.5:60129 > 17.253.18.229:https / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 17.253.18.229:https > 192.168.1.5:60129 / Raw
Ether / IP / UDP 192.168.1.5:60129 > 17.253.18.229:https / Raw
Ether / IP / UDP 192.168.1.5:57621 > 192.168.1.255:57621 / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 192.168.1.5:63586 > 17.253.18.241:https / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
Ether / IP / UDP 17.253.18.241:https > 192.168.1.5:63586 / Raw
